Feature,Correlation,Abs_Correlation
shit,0.19458260462764307,0.19458260462764307
fuck,0.18951140591817653,0.18951140591817653
over,0.15491727342610168,0.15491727342610168
fucking,0.14915043357109595,0.14915043357109595
run,0.14608569901581783,0.14608569901581783
thug,0.1309950464580019,0.1309950464580019
them,0.12733101829777735,0.12733101829777735
idiot,0.12516475203147293,0.12516475203147293
ass,0.12208697543322618,0.12208697543322618
bullshit,0.120013995943586,0.120013995943586
shoot,0.11640820343934165,0.11640820343934165
run them,0.1133386565788319,0.1133386565788319
them over,0.11301235041421855,0.11301235041421855
out of,0.11061649034788126,0.11061649034788126
a,0.10903223658029189,0.10903223658029189
of shit,0.10901187611957336,0.10901187611957336
piece of,0.10864866270066519,0.10864866270066519
those,0.10817821602345191,0.10817821602345191
bitch,0.10632409423856423,0.10632409423856423
stupid,0.10283202382434296,0.10283202382434296
an idiot,0.09556727910110188,0.09556727910110188
racists,0.09543543289534304,0.09543543289534304
own,0.09496531608309917,0.09496531608309917
the truth,-0.09628041453108963,0.09628041453108963
but,-0.10730404761268474,0.10730404761268474
truth,-0.11192638635709853,0.11192638635709853
thank,-0.1210068503357166,0.1210068503357166
thank you,-0.12195086279857201,0.12195086279857201
peggy,-0.12396630880707922,0.12396630880707922
video,-0.1365891691627142,0.1365891691627142
